🇨🇳央视频道🇨🇳,#genre#
CCTV1,http://112.27.5.218:9901/tsfile/live/faacts/0001_1.m3u8?key=txiptv&playlive=1&authid=0$LR—IPV4【线路1】
CCTV1,http://1.28.123.148:9901/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0$LR—IPV4【线路2】
CCTV1,http://116.113.73.240:9901/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0$LR—IPV4【线路3】
CCTV1,http://218.1.138.153:9003/hls/1/index.m3u8$LR—IPV4【线路4】
CCTV1,http://112.30.73.119:229/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$LR—IPV4【线路5】
CCTV1,http://222.240.44.42:12810/newlive/live/hls/1/live.m3u8$LR—IPV4【线路6】
CCTV1,http://119.166.53.110:9901/tsfile/live/0002_2.m3u8?key=txiptv&playlive=1&authid=0$LR—IPV4【线路7】
CCTV1,http://111.8.242.127:9999/tsfile/live/1063_1.m3u8?key=txiptv&playlive=1&authid=0$LR—IPV4【线路8】
CCTV1,http://111.8.242.142:9999/tsfile/live/1063_1.m3u8?key=txiptv&playlive=1&authid=0$LR—IPV4【线路9】
CCTV1,http://111.8.224.6:9999/tsfile/live/1063_1.m3u8?key=txiptv&playlive=1&authid=0$LR—IPV4【线路10】
CCTV1,http://61.178.227.57:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$LR—IPV4【线路11】
CCTV1,http://113.9.214.47:9003/hls/1/index.m3u8$LR—IPV4【线路12】
CCTV1,http://221.226.51.220:50081/newlive/live/hls/1/live.m3u8$LR—IPV4【线路13】
CCTV1,http://113.90.154.189:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$LR—IPV4【线路14】
CCTV1,http://222.137.229.140:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$LR—IPV4【线路15】
CCTV1,http://221.7.175.154:8445/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0$LR—IPV4【线路16】
CCTV1,http://223.78.65.165:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$LR—IPV4【线路17】
CCTV1,http://123.118.55.165:45237/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$LR—IPV4【线路18】
CCTV1,http://118.193.115.2:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$LR—IPV4【线路19】
CCTV1,http://211.92.102.44:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$LR—IPV4【线路20】
CCTV1,http://223.14.160.39:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$LR—IPV4【线路21】
CCTV1,http://182.37.41.46:8154/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$LR—IPV4【线路22】
CCTV1,http://118.122.144.115:8888/newlive/live/hls/1/live.m3u8$LR—IPV4【线路23】
CCTV1,http://218.13.138.139:59901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$LR—IPV4【线路24】
CCTV1,http://1.192.153.44:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0$LR—IPV4【线路25】
CCTV1,http://113.57.140.161:10081/newlive/live/hls/1/live.m3u8$LR—IPV4【线路26】
CCTV1,http://171.38.148.188:9003/hls/1/index.m3u8$LR—IPV4【线路27】
CCTV1,http://219.147.245.238:25480/newlive/live/hls/1/live.m3u8$LR—IPV4【线路28】
CCTV1,http://120.40.39.246:352/newlive/live/hls/1/live.m3u8$LR—IPV4【线路29】
CCTV1,https://event.pull.hebtv.com/jishi/cp3.m3u8
CCTV1,http://rihou.cc:55/lib/migu.php?id=cctv1
CCTV1,http://dp.sxtv.top:88/2b/migu.php?id=cctv1
CCTV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV2,http://112.27.5.218:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$LR—IPV4【线路1】
CCTV2,http://1.28.123.148:9901/tsfile/live/1023_1.m3u8?key=txiptv&playlive=1&authid=0$LR—IPV4【线路2】
CCTV2,http://116.113.73.240:9901/tsfile/live/1023_1.m3u8?key=txiptv&playlive=1&authid=0$LR—IPV4【线路3】
CCTV2,http://218.1.138.153:9003/hls/2/index.m3u8$LR—IPV4【线路4】
CCTV2,http://112.30.73.119:229/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$LR—IPV4【线路5】
CCTV2,http://119.166.53.110:9901/tsfile/live/0002_3.m3u8?key=txiptv&playlive=1&authid=0$LR—IPV4【线路6】
CCTV2,http://111.8.242.127:9999/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0$LR—IPV4【线路7】
CCTV2,http://111.8.242.142:9999/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0$LR—IPV4【线路8】
CCTV2,http://111.8.224.6:9999/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0$LR—IPV4【线路9】
CCTV2,http://61.178.227.57:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$LR—IPV4【线路10】
CCTV2,http://113.9.214.47:9003/hls/2/index.m3u8$LR—IPV4【线路11】
CCTV2,http://221.226.51.220:50081/newlive/live/hls/2/live.m3u8$LR—IPV4【线路12】
CCTV2,http://113.90.154.189:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$LR—IPV4【线路13】
CCTV2,http://222.137.229.140:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$LR—IPV4【线路14】
CCTV2,http://221.7.175.154:8445/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0$LR—IPV4【线路15】
CCTV2,http://223.78.65.165:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$LR—IPV4【线路16】
CCTV2,http://123.118.55.165:45237/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$LR—IPV4【线路17】
CCTV2,http://118.193.115.2:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$LR—IPV4【线路18】
CCTV2,http://211.92.102.44:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$LR—IPV4【线路19】
CCTV2,http://223.14.160.39:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$LR—IPV4【线路20】
CCTV2,http://182.37.41.46:8154/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$LR—IPV4【线路21】
CCTV2,http://118.122.144.115:8888/newlive/live/hls/2/live.m3u8$LR—IPV4【线路22】
CCTV2,http://1.192.153.44:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0$LR—IPV4【线路23】
CCTV2,http://113.57.140.161:10081/newlive/live/hls/2/live.m3u8$LR—IPV4【线路24】
CCTV2,http://171.38.148.188:9003/hls/2/index.m3u8$LR—IPV4【线路25】
CCTV2,http://219.147.245.238:25480/newlive/live/hls/2/live.m3u8$LR—IPV4【线路26】
CCTV2,http://120.40.39.246:352/newlive/live/hls/2/live.m3u8$LR—IPV4【线路27】
CCTV2,http://liveop.cctv.cn/hls/CCTV28bee868714f04ea2af79947bb9b46fc3H/playlist.m3u8
CCTV2,http://rihou.cc:55/lib/migu.php?id=cctv2
CCTV2,http://dp.sxtv.top:88/2b/migu.php?id=cctv2
CCTV2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8
CCTV3,http://112.27.5.218:9901/tsfile/live/faacts/0003_1.m3u8?key=txiptv&playlive=1&authid=0$LR—IPV4【线路1】
CCTV3,http://1.28.123.148:9901/tsfile/live/1028_1.m3u8?key=txiptv&playlive=1&authid=0$LR—IPV4【线路2】
CCTV3,http://116.113.73.240:9901/tsfile/live/1028_1.m3u8?key=txiptv&playlive=1&authid=0$LR—IPV4【线路3】
CCTV3,http://218.1.138.153:9003/hls/3/index.m3u8$LR—IPV4【线路4】
CCTV3,http://112.30.73.119:229/tsfile/live/0003_2.m3u8?key=txiptv&playlive=0&authid=0$LR—IPV4【线路5】
CCTV3,http://112.30.73.119:229/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$LR—IPV4【线路6】
CCTV3,http://119.166.53.110:9901/tsfile/live/0002_4.m3u8?key=txiptv&playlive=1&authid=0$LR—IPV4【线路7】
CCTV3,http://111.8.242.127:9999/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0$LR—IPV4【线路8】
CCTV3,http://111.8.242.142:9999/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0$LR—IPV4【线路9】
CCTV3,http://111.8.224.6:9999/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0$LR—IPV4【线路10】
CCTV3,http://61.178.227.57:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$LR—IPV4【线路11】
CCTV3,http://113.9.214.47:9003/hls/3/index.m3u8$LR—IPV4【线路12】
CCTV3,http://221.226.51.220:50081/newlive/live/hls/3/live.m3u8$LR—IPV4【线路13】
CCTV3,http://113.90.154.189:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$LR—IPV4【线路14】
CCTV3,http://222.137.229.140:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$LR—IPV4【线路15】
CCTV3,http://221.7.175.154:8445/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0$LR—IPV4【线路16】
CCTV3,http://112.27.145.212:9902/tsfile/live/1502_1.m3u8?key=txiptv&playlive=1&authid=0$LR—IPV4【线路17】
CCTV3,http://223.78.65.165:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$LR—IPV4【线路18】
CCTV3,http://123.118.55.165:45237/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$LR—IPV4【线路19】
CCTV3,http://118.193.115.2:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$LR—IPV4【线路20】
CCTV3,http://223.14.160.39:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$LR—IPV4【线路21】
CCTV3,http://182.37.41.46:8154/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$LR—IPV4【线路22】
CCTV3,http://118.122.144.115:8888/newlive/live/hls/3/live.m3u8$LR—IPV4【线路23】
CCTV3,http://1.192.153.44:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0$LR—IPV4【线路24】
CCTV3,http://113.57.140.161:10081/newlive/live/hls/3/live.m3u8$LR—IPV4【线路25】
CCTV3,http://171.38.148.188:9003/hls/3/index.m3u8$LR—IPV4【线路26】
CCTV3,http://219.147.245.238:25480/newlive/live/hls/3/live.m3u8$LR—IPV4【线路27】
CCTV3,http://120.40.39.246:352/newlive/live/hls/3/live.m3u8$LR—IPV4【线路28】
CCTV3,http://58.144.195.213/hljbuv52.live.bestvcdn.com.cn/0/live/program/live/cctv38m/8000000/mnf.m3u8
CCTV3,http://rihou.cc:55/lib/migu.php?id=cctv3
CCTV3,http://dp.sxtv.top:88/2b/migu.php?id=cctv3
CCTV3,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV4,http://112.27.5.218:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$LR—IPV4【线路1】
CCTV4,http://1.28.123.148:9901/tsfile/live/1026_1.m3u8?key=txiptv&playlive=1&authid=0$LR—IPV4【线路2】
CCTV4,http://116.113.73.240:9901/tsfile/live/1026_1.m3u8?key=txiptv&playlive=1&authid=0$LR—IPV4【线路3】
CCTV4,http://218.1.138.153:9003/hls/4/index.m3u8$LR—IPV4【线路4】
CCTV4,http://112.30.73.119:229/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$LR—IPV4【线路5】
CCTV4,http://119.166.53.110:9901/tsfile/live/0002_5.m3u8?key=txiptv&playlive=1&authid=0$LR—IPV4【线路6】
CCTV4,http://111.8.242.127:9999/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0$LR—IPV4【线路7】
CCTV4,http://111.8.242.142:9999/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0$LR—IPV4【线路8】
CCTV4,http://111.8.224.6:9999/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0$LR—IPV4【线路9】
CCTV4,http://61.178.227.57:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$LR—IPV4【线路10】
CCTV4,http://113.9.214.47:9003/hls/4/index.m3u8$LR—IPV4【线路11】
CCTV4,http://221.226.51.220:50081/newlive/live/hls/4/live.m3u8$LR—IPV4【线路12】
CCTV4,http://113.90.154.189:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$LR—IPV4【线路13】
CCTV4,http://222.137.229.140:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$LR—IPV4【线路14】
CCTV4,http://221.7.175.154:8445/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0$LR—IPV4【线路15】
CCTV4,http://223.78.65.165:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$LR—IPV4【线路16】
CCTV4,http://123.118.55.165:45237/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$LR—IPV4【线路17】
CCTV4,http://118.193.115.2:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$LR—IPV4【线路18】
CCTV4,http://211.92.102.44:9901/tsfile/live/0004_2.m3u8?key=txiptv&playlive=0&authid=0$LR—IPV4【线路19】
CCTV4,http://223.14.160.39:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$LR—IPV4【线路20】
CCTV4,http://182.37.41.46:8154/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$LR—IPV4【线路21】
CCTV4,http://118.122.144.115:8888/newlive/live/hls/4/live.m3u8$LR—IPV4【线路22】
CCTV4,http://1.192.153.44:9901/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0$LR—IPV4【线路23】
CCTV4,http://171.38.148.188:9003/hls/4/index.m3u8$LR—IPV4【线路24】
CCTV4,http://171.38.148.188:9003/hls/20/index.m3u8$LR—IPV4【线路25】
CCTV4,http://219.147.245.238:25480/newlive/live/hls/4/live.m3u8$LR—IPV4【线路26】
CCTV4,http://120.40.39.246:352/newlive/live/hls/4/live.m3u8$LR—IPV4【线路27】
CCTV4,http://58.144.195.213/hljbuv52.live.bestvcdn.com.cn/0/live/program/live/cctv4hd8m/8000000/mnf.m3u8
