🥝数字频道🥝,#genre#
CHC动作电影,http://123.13.24.224:9992/tsfile/live/1078_1.m3u8?key=txiptv&playlive=1&authid=0
CHC动作电影,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN6380763222d00/index.m3u8?AuthInfo=9kOOdBn7MFF%2F2bWjKgahUTrwI%2B%2BngB0lPRofcD8hTNSXQZMUEnZPBI3Y%2BI8ABE4PJC%2B6OvlZZw5ubC%2FbrIdxFJJY1CcAGU%2BYDDQV9oJ%2FVqQ$LR•IPV6『线路1』
CHC动作电影,http://[2409:8087:4c0a:22:1::11]:6410/170000001115/UmaiCHAN6380763222d00/index.m3u8?m3u8_level=2$LR•IPV6『线路2』
CHC动作电影,http://27.18.6.11:4022/rtp/239.69.1.242:11094$LR•IPV4『线路3』
CHC动作电影,http://119.98.233.15:5555/rtp/239.69.1.242:11094$LR•IPV4『线路4』
CHC动作电影,http://27.17.205.98:8118/rtp/239.69.1.242:11094$LR•IPV4『线路5』
CHC动作电影,http://124.230.56.221:55555/udp/239.76.245.243:1234$LR•IPV4『线路6』
CHC动作电影,http://117.11.6.207:8888/udp/225.1.1.215:5002$LR•IPV4『线路7』
CHC动作电影,http://111.162.164.172:8686/udp/225.1.1.215:5002$LR•IPV4『线路8』
CHC动作电影,http://60.26.2.99:7000/udp/225.1.1.215:5002$LR•IPV4『线路9』
CHC动作电影,http://60.223.186.186:10000/rtp/226.0.2.94:8012$LR•IPV4『线路10』
CHC动作电影,http://60.220.167.202:8082/rtp/226.0.2.94:8012$LR•IPV4『线路11』
CHC动作电影,http://118.79.12.225:6000/rtp/226.0.2.94:8012$LR•IPV4『线路12』
CHC动作电影,http://60.220.167.92:8085/rtp/226.0.2.94:8012$LR•IPV4『线路13』
CHC动作电影,http://42.236.161.90:8888/rtp/225.1.4.208:1261$LR•IPV4『线路14』
CHC动作电影,http://125.47.74.104:8888/rtp/225.1.4.208:1261$LR•IPV4『线路15』
CHC动作电影,http://58.19.38.162:9901/tsfile/live/1037_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路16』
CHC动作电影,http://58.215.231.9/live2.rxip.sc96655.com/live/wqCHCdzdyH265_4000.m3u8$LR•IPV4『线路17』
CHC动作电影,http://58.215.231.58/live2.rxip.sc96655.com/live/wqCHCdzdyH265_4000.m3u8$LR•IPV4『线路18』
CHC动作电影,http://58.215.231.60/live2.rxip.sc96655.com/live/wqCHCdzdyH265_4000.m3u8$LR•IPV4『线路19』
CHC动作电影,http://58.216.99.148:80/live2.rxip.sc96655.com/live/wqCHCdzdyH265_4000.m3u8$LR•IPV4『线路20』
CHC动作电影,http://61.52.29.182:13579/rtp/225.1.4.208:1261$LR•IPV4『线路21』
CHC动作电影,http://183.184.15.103:8003/rtp/226.0.2.94:8012$LR•IPV4『线路22』
CHC动作电影,http://183.184.15.103:8001/rtp/226.0.2.94:8012$LR•IPV4『线路23』
CHC动作电影,http://183.184.15.103:8005/rtp/226.0.2.94:8012$LR•IPV4『线路24』
CHC动作电影,http://183.184.15.103:8002/rtp/226.0.2.94:8012$LR•IPV4『线路25』
CHC动作电影,http://42.231.182.119:8089/rtp/225.1.4.208:1261$LR•IPV4『线路26』
CHC动作电影,http://220.175.145.235:9000/udp/239.252.219.85:5140$LR•IPV4『线路27』
CHC动作电影,http://171.118.170.147:8082/rtp/226.0.2.94:8012$LR•IPV4『线路28』
CHC动作电影,http://171.118.170.147:8084/rtp/226.0.2.94:8012$LR•IPV4『线路29』
CHC动作电影,http://171.118.170.147:8083/rtp/226.0.2.94:8012$LR•IPV4『线路30』
CHC动作电影,http://171.118.170.147:8085/rtp/226.0.2.94:8012$LR•IPV4『线路31』
CHC动作电影,http://221.232.172.125:1234/rtp/239.69.1.242:11094$LR•IPV4『线路32』
CHC动作电影,http://125.43.40.173:9999/rtp/225.1.4.208:1261$LR•IPV4『线路33』
CHC动作电影,http://xuys.top:8888/udp/225.1.1.221:5002$LR•IPV4『线路34』
CHC动作电影,http://xuys.top:8888/udp/225.1.1.215:5002$LR•IPV4『线路35』
CHC动作电影,http://wsd.saj-web.top:4000/udp/225.1.1.221:5002$LR•IPV4『线路36』
CHC动作电影,http://wsd.saj-web.top:4000/udp/225.1.1.215:5002$LR•IPV4『线路37』
CHC动作电影,http://fxgm.fxjf.work:19901/tsfile/live/1015_1.m3u8$LR•IPV4『线路38』
CHC动作电影,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225661/index.m3u8$LR•IPV4『线路39』
CHC动作电影,http://123.189.36.103:9901/tsfile/live/1101_1.m3u8?key=txiptv&playlive=1&authid=0$LR•IPV4『线路40』
CHC动作电影,http://218.76.32.193:9901/tsfile/live/1020_1.m3u8$LR•IPV4『线路41』
CHC动作电影,http://hlsbkmgsplive.miguvideo.com/wd_r1/2018/gesee/chcdzdy/600/index.m3u8?&encrypt=$LR•IPV4『线路42』
CHC动作电影,P2p://generationnexxxt.com:19806/ba97d7744f9b4bbaac3d6bb6b9e3798b$LR•IPV4『线路43』
CHC动作电影,p3p://108.181.20.159:23520/63ec4d4200074d64e44790cb67ae7b20$LR•IPV4『线路44』
CHC动作电影,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226465/index.m3u8$LR•IPV4『线路45』
CHC动作电影,http://116.9.6.73:4000/rtp/239.81.0.239:4056$LR•IPV4『线路46』
CHC动作电影,http://175.11.169.166:4022/udp/239.76.245.243:1234$LR•IPV4『线路47』
CHC动作电影,http://111.162.164.172:8686/rtp/225.1.1.215:5002$LR•IPV4『线路48』
CHC动作电影,http://125.46.132.75:9999/rtp/225.1.4.208:1261$LR•IPV4『线路49』
CHC动作电影,http://59.172.144.204:10000/rtp/239.69.1.242:11094$LR•IPV4『线路50』
CHC动作电影,http://111.20.40.170/PLTV/88888893/224/3221226465/index.m3u8$LR•IPV4『线路51』
CHC动作电影,http://nas.hssvm.com:8888/udp/225.1.1.215:5002$LR•IPV4『线路52』
